line_number,keep,technique,angle,technique_key,angle_key,record_reference_key,target_technique_key,url,title,segment_start_s,segment_end_s,command
5,yes,jab,front_punch_correctly_umgn9z,jab,front_punch_correctly_umgn9z,jab__front_punch_correctly_umgn9z,jab,https://www.youtube.com/watch?v=UMgN9zcC0Qw,How to punch correctly…,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=UMgN9zcC0Qw"" --record-reference ""jab__front_punch_correctly_umgn9z"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
9,yes,jab,front_though_quick_snapping_powerful_sw4tx0,jab,front_though_quick_snapping_powerful_sw4tx0,jab__front_though_quick_snapping_powerful_sw4tx0,jab,https://www.youtube.com/watch?v=SW4Tx0wH65c,How to though a Quick Snapping Powerful jab. #theworldsfastestjab #quickjab #boxing #jab,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=SW4Tx0wH65c"" --record-reference ""jab__front_though_quick_snapping_powerful_sw4tx0"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
11,yes,jab,front_mike_tyson_throw_knockout_hskmzf,jab,front_mike_tyson_throw_knockout_hskmzf,jab__front_mike_tyson_throw_knockout_hskmzf,jab,https://www.youtube.com/watch?v=HsKmzFmDrMs,Mike Tyson on how to throw a Knockout Punch 👑🥊,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=HsKmzFmDrMs"" --record-reference ""jab__front_mike_tyson_throw_knockout_hskmzf"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
12,yes,jab,front_throw_double_eecq_m,jab,front_throw_double_eecq_m,jab__front_throw_double_eecq_m,jab,https://www.youtube.com/watch?v=eECq-mcqAoQ,How to Throw the Double-Jab #shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=eECq-mcqAoQ"" --record-reference ""jab__front_throw_double_eecq_m"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
14,yes,jab,front_fundamentals_correctly_bktwwu,jab,front_fundamentals_correctly_bktwwu,jab__front_fundamentals_correctly_bktwwu,jab,https://www.youtube.com/watch?v=BkTWWuN5fVY,Boxing fundamentals: How to jab correctly 🥊,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=BkTWWuN5fVY"" --record-reference ""jab__front_fundamentals_correctly_bktwwu"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
17,yes,jab,front_lessons_floyd_mayweather_jq4_r,jab,front_lessons_floyd_mayweather_jq4_r,jab__front_lessons_floyd_mayweather_jq4_r,jab,https://www.youtube.com/watch?v=Jq4--rtLBPs,Boxing Lessons With Floyd Mayweather #Shorts,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=Jq4--rtLBPs"" --record-reference ""jab__front_lessons_floyd_mayweather_jq4_r"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
18,yes,jab,front_learn_easy_combo_beginners_3u6loj,jab,front_learn_easy_combo_beginners_3u6loj,jab__front_learn_easy_combo_beginners_3u6loj,jab,https://www.youtube.com/watch?v=3u6lojo40a8,Learn This EASY Boxing Combo For BEGINNERS,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=3u6lojo40a8"" --record-reference ""jab__front_learn_easy_combo_beginners_3u6loj"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
19,yes,jab,front_song_tells_truth_doraemon_iatbcu,jab,front_song_tells_truth_doraemon_iatbcu,jab__front_song_tells_truth_doraemon_iatbcu,jab,https://www.youtube.com/watch?v=IatBcuQ0OhA,This song tells the truth 😔😥||Doraemon theme song||&quot;Jab ham bade ho jayenge&quot;||#Doraemonthemesongedit,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=IatBcuQ0OhA"" --record-reference ""jab__front_song_tells_truth_doraemon_iatbcu"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
21,yes,jab,front_throw_punch_udo0rz,jab,front_throw_punch_udo0rz,jab__front_throw_punch_udo0rz,jab,https://www.youtube.com/watch?v=udo0RzY-9Cg,How To Throw A Perfect Punch,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=udo0RzY-9Cg"" --record-reference ""jab__front_throw_punch_udo0rz"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
22,yes,jab,front_cross_hook_uppercut_basic_cqomii,jab,front_cross_hook_uppercut_basic_cqomii,jab__front_cross_hook_uppercut_basic_cqomii,jab,https://www.youtube.com/watch?v=cQOMIiECOjk,Jab Cross Hook Uppercut Basic Punching Speed #viral #martialartslife #boxing,,,"& ""c:/Users/URJXHC/OneDrive - Everllence SE/Documents/ComputerVision/BsC/.venv/Scripts/python.exe"" ""action_recognition.py"" --weights ""yolo26n-pose.pt"" --source ""https://www.youtube.com/watch?v=cQOMIiECOjk"" --record-reference ""jab__front_cross_hook_uppercut_basic_cqomii"" --target-technique ""jab"" --reference-dir ""reference_poses"" --num-video-sequence-samples 12 --skip-frame 1 --save-kpts-dir ""keypoints"" --record-reference-max-saves 0 --reference-capture-cooldown-frames 24 --disable-video-classifier --visualize-pose --person-selection-mode ""most_motion"""
