technique,angle,video_id,url,title,channel_title,channel_id,published_at,duration_iso8601,duration_seconds,definition,caption,view_count,like_count,comment_count,query_hit,tags
jab,left45,k6-Jipxenzc,https://www.youtube.com/watch?v=k6-Jipxenzc,This Simple Thumb Trick Will Double Your Wrist Strength For Punching #muaythai #mma #fight,Glove Up,UC7pkMgqBxFsErwWwXjXq9CA,2025-04-23T12:47:07Z,PT39S,39,hd,false,10802563,170391,1449,boxing jab form slow motion left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,joe lewis|Boxing|How to punch|How to wrap your hands|mma|Martial arts|the real bruce lee|bruce lee|boxing highlights|boxing knockouts|boxing today|how to make a fist karate|Strength For Punching|how to punch|boxing workout|how to fight|how to punch harder|kickboxing|muay thai vs kickboxing|muay thai
jab,left45,P9gjzoNJCKs,https://www.youtube.com/watch?v=P9gjzoNJCKs,Sneaky angle cutting in boxing 🪄,cocktagon,UCBehP2QmInjKFFPEU99PHig,2025-01-22T13:30:13Z,PT36S,36,hd,false,10231084,331407,1108,how to throw a jab left 45 degree view|jab technique left 45 degree view view,boxing|boxeo
jab,left45,wzOCSocPGys,https://www.youtube.com/watch?v=wzOCSocPGys,How-To Boxing: Angle Shuffle,How to Boxing,UCB_U56mkxRzgfuddedVI5FQ,2019-09-16T20:56:12Z,PT15S,15,hd,false,6811030,272731,1355,boxing jab form slow motion left 45 degree view|boxing jab tutorial left 45 degree view,boxing|how to|drills|fighting|angle shuffle|footwork|technique|How-To Angle shuffle|boxing footwork|boxing angles|boxing technique|How-to: Angle shuffle|jawknee|jawknee.v|boxing athlete|boxing fitness|fitness|athlete|workout|boxing workout
jab,left45,M97ra0UR-40,https://www.youtube.com/watch?v=M97ra0UR-40,How to do Cable Flyes Correctly,TylerPath,UCKNGg6mwG-m62N9A-5ee1mA,2024-03-16T13:45:02Z,PT20S,20,hd,false,6771275,323391,689,jab technique left 45 degree view view,
jab,left45,yl66S30Mrrg,https://www.youtube.com/watch?v=yl66S30Mrrg,Hook. Power punch. Power punch training. Boxing training.,Valentyn Trostianchuk ,UCdIHhzu19iBa2uUHgy-ZV_Q,2023-06-30T21:16:01Z,PT12S,12,hd,false,5076213,245645,1978,how to throw a jab left 45 degree view|proper jab mechanics left 45 degree view,
jab,left45,CG1oqBm2Yjw,https://www.youtube.com/watch?v=CG1oqBm2Yjw,“Right and Wrong” Boxing Techniques,Andrii Khotin,UCm1dm5st6Jpi-KXrYptEhbQ,2024-12-10T18:00:15Z,PT16S,16,hd,false,4226920,79175,296,jab technique left 45 degree view view|proper jab mechanics left 45 degree view,
jab,left45,K5qYd1axXuc,https://www.youtube.com/watch?v=K5qYd1axXuc,Boxing Professional REVEALS Secrets To Landing an Uppercut,Tony Jeffries,UCT_8YwHmACxpUootXe7yKjA,2025-04-05T15:58:30Z,PT42S,42,hd,false,3898659,118210,236,proper jab mechanics left 45 degree view,uppercut|boxing uppercut|how to throw uppercut|how to throw boxing uppercut|uppercut boxing
jab,left45,SVVsU7rbRrQ,https://www.youtube.com/watch?v=SVVsU7rbRrQ,Stop throwing your lead hook like a robot 🤖,fightTIPS,UClKgO_YP3pcIVeav2g_k6hw,2024-04-10T18:43:04Z,PT1M,60,hd,false,3572770,163230,2163,boxing jab form slow motion left 45 degree view|how to throw a jab left 45 degree view|jab technique left 45 degree view view|proper jab mechanics left 45 degree view,
jab,left45,jQ6RlFLk2dw,https://www.youtube.com/watch?v=jQ6RlFLk2dw,How to Make a Boxing Fist ! #boxingtraining #boxing #boxeo #youtubeshort #shortsfeed,The Boxing Training Network,UCU08NMLH6pFrzjCHV-zhmSg,2023-04-18T15:51:41Z,PT50S,50,hd,false,2598005,80286,2781,how to throw a jab left 45 degree view|proper jab mechanics left 45 degree view,boxing training|boxing lesson|boxing fist|boxing for beginer|boxing at home|boxing training for beginners|boxing training at home|basic boxing training
jab,left45,LLPs4o06lrM,https://www.youtube.com/watch?v=LLPs4o06lrM,Mike Tyson&#39;s Fastest Knockout Ever!,Brawlz,UCpGrjiPNe0w7T41uy6CfD5A,2024-11-22T15:45:00Z,PT40S,40,hd,false,2348264,71255,847,boxing jab form slow motion left 45 degree view,mike tyson|mike tyson knockout|boxing knockouts|mike tyson ko|mike tyson highlights|mike tyson history|marvis frazier|mike tyson vs marvis frazier|mike tyson marvis frazier|boxing shorts|mike tyson motivation|boxing legends|boxing history|iron mike tyson|iron mike|boxing news|tyson vs frazier|boxing ko|boxing|mike tyson fights
