technique,angle,stance,quality,keep,segment_start_s,segment_end_s,notes,video_id,url,title,channel_title,channel_id,published_at,duration_iso8601,duration_seconds,definition,caption,view_count,like_count,comment_count,query_hit,tags
jab,,,,no,,,,IMoKmFhFd1M,https://www.youtube.com/watch?v=IMoKmFhFd1M,Peanut Time Lapse #amazingtube #timelapse,Amazing Tube,UCU9FjEKGwl40uHfSgjgnYaQ,2023-02-06T12:58:34Z,PT44S,44,hd,false,188475667,4498347,8394,jab form slow motion,timelapse|tua nhanh|nay mam|time lapse|growing|plant|trong cay|peanut|dau phong
jab,,,,no,,,,QAWD_7QxC50,https://www.youtube.com/watch?v=QAWD_7QxC50,LaMelo disrespected the entire Hawks team 💀 #shorts,GD's Highlights,UCd_EkHbEutirFl_XSrg95kA,2022-03-17T21:00:17Z,PT14S,14,hd,false,58397216,2418775,11164,jab form slow motion,lamelo ball|lamelo|lamelo ball highlights|lamelo ball hornets
jab,,,,no,,,,x1auTcXFJNw,https://www.youtube.com/watch?v=x1auTcXFJNw,Remy (monarch caterpillar) variable speed time-lapse,Benjamin Hill,UChT6H3q3E-WT38-V0eXc7nQ,2021-10-05T02:51:35Z,PT59S,59,sd,false,54965211,2192380,14646,jab form slow motion,
jab,,,,yes,,,,UMgN9zcC0Qw,https://www.youtube.com/watch?v=UMgN9zcC0Qw,How to punch correctly…,Nat Hearn,UCKMYdnHrn9DCh3SQpsZWOKA,2024-10-26T17:00:28Z,PT23S,23,hd,false,41463718,0,4323,boxing jab tutorial|how to throw a jab|proper jab mechanics,
jab,,,,no,,,,dYppZ6HKFd8,https://www.youtube.com/watch?v=dYppZ6HKFd8,Long jump technique #shorts #trendingshorts #reels,jumperAj,UCELwpXdvKcdwBWrEDWQWKSg,2022-04-17T04:33:20Z,PT16S,16,hd,false,40671668,1482915,971,jab form slow motion,
jab,,,,no,,,,JN4jMvdQBXs,https://www.youtube.com/watch?v=JN4jMvdQBXs,Will water make it FASTER? 🤔,SoupTimmy,UCpp1GoykvTBuPiZt3FiFHjg,2023-05-27T00:36:00Z,PT41S,41,hd,false,26841364,792240,1134,jab form slow motion,
jab,,,,no,,,,mPRYljb58Is,https://www.youtube.com/watch?v=mPRYljb58Is,How To Solve a Corner Twist,Cube For Speed,UCAcLx67GTdR0-nkS8ZhC3OA,2023-06-25T11:01:21Z,PT21S,21,hd,false,25685010,518285,1009,jab form slow motion,
jab,,,,yes,,,,SW4Tx0wH65c,https://www.youtube.com/watch?v=SW4Tx0wH65c,How to though a Quick Snapping Powerful jab. #theworldsfastestjab #quickjab #boxing #jab,Sensei Aaron Allen,UCa_CqBdeQ6U4VVlG0_uKXEA,2016-08-15T20:35:29Z,PT16S,16,sd,false,24170360,815001,8694,boxing jab tutorial|how to throw a jab|jab form slow motion|proper jab mechanics,Boxing|Fast hands|Quick Punching|Bruce Lee|Mma|martial arts|Self Defense|Karate|Bulling|Combat Ladies Self Defense.|selfdefensetechniques|selfdefenseinstructor|selfdefensecoach|selfdefenseforwomen|selfdefenseforkids|selfdefenceguy|boxing|ninjitsu|kungfu|karate
jab,,,,no,,,,NDnRE7Qxpss,https://www.youtube.com/watch?v=NDnRE7Qxpss,Pea - Time Lapse #plants # timelapse,Amazing Tube,UCU9FjEKGwl40uHfSgjgnYaQ,2023-05-30T03:00:08Z,PT43S,43,hd,false,16535749,362893,782,jab form slow motion,timelapse|tua nhanh|nay mam|time lapse|growing|plant|trong cay|pea|amazing tube
jab,,,,yes,,,,HsKmzFmDrMs,https://www.youtube.com/watch?v=HsKmzFmDrMs,Mike Tyson on how to throw a Knockout Punch 👑🥊,Fighting Centre,UCpshxsDVirv_tuyQmiKfDjA,2022-07-12T15:12:47Z,PT54S,54,hd,false,12916181,881441,4467,how to throw a jab,Mike Tyson|Iron Mike|Iron Mike Tyson|Boxing|Shorts|Boxing shorts|YouTube shorts|Knockout|Knockout punch|Mike Tyson knockout|Larry merchant
jab,,,,yes,,,,eECq-mcqAoQ,https://www.youtube.com/watch?v=eECq-mcqAoQ,How to Throw the Double-Jab #shorts,Precision Striking,UC4PwJo76WpTOk-3N8dazt1A,2021-06-30T10:00:30Z,PT52S,52,hd,false,11624607,731815,3777,boxing jab tutorial|how to throw a jab|jab form slow motion|proper jab mechanics,
jab,,,,no,,,,FEymlgZrrQQ,https://www.youtube.com/watch?v=FEymlgZrrQQ,Implementation of cover drive tips of virat kohli #viral #trending #shorts #cricket,Suhas Givari Cricket ,UCev0jg2c-4-kFm9Xt8woZ7Q,2022-08-17T16:01:52Z,PT14S,14,hd,false,9411798,370197,749,jab form slow motion,
jab,,,,yes,,,,BkTWWuN5fVY,https://www.youtube.com/watch?v=BkTWWuN5fVY,Boxing fundamentals: How to jab correctly 🥊,Lentz Lundy Boxing,UC21CGTjJflWBmoriFa39zOQ,2022-12-03T19:46:09Z,PT11S,11,hd,false,9198017,184042,533,boxing jab tutorial|how to throw a jab|proper jab mechanics,boxing|how to box|lentz lundy|jab|how to jab|best jab|how to throw a strong jab|how to jab correctly|boxing for beginners|boxing technique|best boxing technique|how to box for beginners|best boxing lesson|boxing lesson|jabbing mistakes|jab mistake|how to jab properly|jabs|double jab|how to jab like mayweather
jab,,,,no,,,,U7IKXrNeUEw,https://www.youtube.com/watch?v=U7IKXrNeUEw,Win Chess in just 2 Moves Only! #Shorts,Immortal Wazir -English,UCAJAvZckXWvKiwAG2CEkbnQ,2022-04-10T17:33:28Z,PT18S,18,hd,true,7389747,229499,1200,jab form slow motion,chess|checkmate|checkmate chess|2 moves checkmate|checkmate in 2 moves|easy checkmate|how win chess fast|how win chess every game|checkmate in two moves|Fool's mate|fool mate|ajedrez|шахматы|echecs|échecs|catur|schach|shatranj|scacchi|immortalwazir
