technique,angle,reference_key,status,source_url,source_url_1,source_url_2,source_url_3,source_url_4,segment_start_s,segment_end_s,quality,notes,target_technique_key,record_reference_key,command_ready,command
zenkutsu_dachi,front,zenkutsu_dachi__front,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial front view,zenkutsu_dachi,zenkutsu_dachi__front,no,
zenkutsu_dachi,left45,zenkutsu_dachi__left45,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial left 45 degree view,zenkutsu_dachi,zenkutsu_dachi__left45,no,
zenkutsu_dachi,right45,zenkutsu_dachi__right45,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial right 45 degree view,zenkutsu_dachi,zenkutsu_dachi__right45,no,
zenkutsu_dachi,side,zenkutsu_dachi__side,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial side view,zenkutsu_dachi,zenkutsu_dachi__side,no,
zenkutsu_dachi,side_left,zenkutsu_dachi__side_left,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial side left view,zenkutsu_dachi,zenkutsu_dachi__side_left,no,
zenkutsu_dachi,side_right,zenkutsu_dachi__side_right,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial side right view,zenkutsu_dachi,zenkutsu_dachi__side_right,no,
zenkutsu_dachi,behind,zenkutsu_dachi__behind,pending,,,,,,,,,needs source url: karate zenkutsu dachi front stance tutorial back view,zenkutsu_dachi,zenkutsu_dachi__behind,no,
kokutsu_dachi,front,kokutsu_dachi__front,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial front view,kokutsu_dachi,kokutsu_dachi__front,no,
kokutsu_dachi,left45,kokutsu_dachi__left45,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial left 45 degree view,kokutsu_dachi,kokutsu_dachi__left45,no,
kokutsu_dachi,right45,kokutsu_dachi__right45,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial right 45 degree view,kokutsu_dachi,kokutsu_dachi__right45,no,
kokutsu_dachi,side,kokutsu_dachi__side,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial side view,kokutsu_dachi,kokutsu_dachi__side,no,
kokutsu_dachi,side_left,kokutsu_dachi__side_left,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial side left view,kokutsu_dachi,kokutsu_dachi__side_left,no,
kokutsu_dachi,side_right,kokutsu_dachi__side_right,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial side right view,kokutsu_dachi,kokutsu_dachi__side_right,no,
kokutsu_dachi,behind,kokutsu_dachi__behind,pending,,,,,,,,,needs source url: karate kokutsu dachi back stance tutorial back view,kokutsu_dachi,kokutsu_dachi__behind,no,
