technique,angle,stance,quality,keep,segment_start_s,segment_end_s,notes,video_id,url,title,channel_title,channel_id,published_at,duration_iso8601,duration_seconds,definition,caption,view_count,like_count,comment_count,query_hit,tags
zenkutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",T8sf6u_bFuE,https://www.youtube.com/watch?v=T8sf6u_bFuE,Front Stance Tutorial | Zenkutsu Dachi | Shotokan Karate Techniques,,,,,,,,,,,karate zenkutsu dachi front stance tutorial,
zenkutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",PnXlOkqJ3xM,https://www.youtube.com/watch?v=PnXlOkqJ3xM,Karate Front Stance Complete Tutorial! (Zenkutsu Dachi),,,,,,,,,,,karate zenkutsu dachi front stance tutorial,
zenkutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",drxi4XgEBqU,https://www.youtube.com/watch?v=drxi4XgEBqU,How to move in a Karate Front Stance (Zenkutsu Dachi Tutorial),,,,,,,,,,,karate zenkutsu dachi front stance tutorial,
zenkutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",y1MRzZ5xtMk,https://www.youtube.com/watch?v=y1MRzZ5xtMk,Karate Beginners Guide: Front Stance Zenkutsu Dachi,,,,,,,,,,,karate zenkutsu dachi front stance tutorial,
kokutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",pV0mRzaJbCY,https://www.youtube.com/watch?v=pV0mRzaJbCY,Back Stance / Kokutsu Dachi Tutorial | Shotokan Karate Techniques,,,,,,,,,,,karate kokutsu dachi back stance tutorial,
kokutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",_i0s6Yr1cS4,https://www.youtube.com/watch?v=_i0s6Yr1cS4,KARATE TUTORIAL: Kokutsu Dachi (Back Stance) 101,,,,,,,,,,,karate kokutsu dachi back stance tutorial,
kokutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",lTfZ8FTe1lA,https://www.youtube.com/watch?v=lTfZ8FTe1lA,Kokutsu Dachi (Back Stance) Tutorial,,,,,,,,,,,karate kokutsu dachi back stance tutorial,
kokutsu_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",6QsmByllDKc,https://www.youtube.com/watch?v=6QsmByllDKc,How to perform a Back Stance (Kokutsu Dachi Tutorial),,,,,,,,,,,karate kokutsu dachi back stance tutorial,
kiba_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",qHB2kLPCSrc,https://www.youtube.com/watch?v=qHB2kLPCSrc,Kiba Dachi (Horse Stance) Tutorial,,,,,,,,,,,karate kiba dachi horse stance tutorial,
kiba_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",1TlvCvezOWI,https://www.youtube.com/watch?v=1TlvCvezOWI,Master Kiba Dachi in 15 Minutes | Complete Horse Stance Breakdown,,,,,,,,,,,karate kiba dachi horse stance tutorial,
kiba_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",2HujFBKzzhY,https://www.youtube.com/watch?v=2HujFBKzzhY,Karate Shotokan Stances / Horse riding stance kiba dachi,,,,,,,,,,,karate kiba dachi horse stance tutorial,
kiba_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",J0ld_96U23U,https://www.youtube.com/watch?v=J0ld_96U23U,Kiba Dachi/Horse Stance Basics,,,,,,,,,,,karate kiba dachi horse stance tutorial,
neko_ashi_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",-Jh0y838y5U,https://www.youtube.com/watch?v=-Jh0y838y5U,Neko Ashi Dachi in Karate - Complete Cat Stance Tutorial,,,,,,,,,,,karate neko ashi dachi cat stance tutorial,
neko_ashi_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",neKQBWE_oU0,https://www.youtube.com/watch?v=neKQBWE_oU0,Cat Stance (Neko-Ashi Dachi) breakdown for Karate practitioners,,,,,,,,,,,karate neko ashi dachi cat stance tutorial,
neko_ashi_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",ZP-7BTt9_kE,https://www.youtube.com/watch?v=ZP-7BTt9_kE,BEST KARATE EXERCISES FOR CAT STANCE TRAINING - Jesse Enkamp,,,,,,,,,,,karate neko ashi dachi cat stance tutorial,
neko_ashi_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",QVTb_Ida9c4,https://www.youtube.com/watch?v=QVTb_Ida9c4,Cat Stance (Nekoashi-Dachi) and Why is it important,,,,,,,,,,,karate neko ashi dachi cat stance tutorial,
heiko_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",np3qY90Ho5Q,https://www.youtube.com/watch?v=np3qY90Ho5Q,Heiko Dachi: Parallel Stance (Base for Kihon) | EP. 15,,,,,,,,,,,karate heiko dachi parallel stance kihon tutorial,
heiko_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",xSDVq63tNMM,https://www.youtube.com/watch?v=xSDVq63tNMM,Karate Stances Basic Shotokan Stances Heiko Dachi - Parallel Stance,,,,,,,,,,,karate heiko dachi parallel stance kihon tutorial,
heiko_dachi,,,,,,,"auto-sourced by web search; angle not verified - review the clip, set angle and keep before capture",6TUoIwgD95o,https://www.youtube.com/watch?v=6TUoIwgD95o,Karate Stances - Heiko dachi - Goju Ryu Style,,,,,,,,,,,karate heiko dachi parallel stance kihon tutorial,
